iter	PairLogit	AverageGain:top=10
649	0.4152624752	0.3997126437
650	0.4149587108	0.3997126437
651	0.4146594685	0.3994252874
652	0.4144145639	0.4002873563
653	0.4139502068	0.4005747126
654	0.4136227182	0.3997126437
655	0.4132438125	0.4
656	0.4127727445	0.4
657	0.4123841036	0.4005747126
658	0.4121116611	0.4002873563
659	0.4118050689	0.3997126437
660	0.4115544118	0.4
661	0.4112795624	0.4
662	0.4109035296	0.4002873563
663	0.4103548102	0.4
664	0.4100778121	0.4
665	0.4098793086	0.400862069
666	0.4095023607	0.4011494253
667	0.4091937751	0.4005747126
668	0.4089081628	0.4011494253
669	0.4085886711	0.4014367816
670	0.4081477461	0.4017241379
671	0.4078002637	0.4017241379
672	0.4073729072	0.4020114943
673	0.4069832656	0.4020114943
674	0.4065559965	0.4028735632
675	0.4064032867	0.4020114943
676	0.4060456405	0.4011494253
677	0.4055687019	0.4011494253
678	0.4053306082	0.4017241379
679	0.4050607933	0.4020114943
680	0.4047321154	0.4011494253
681	0.4044533458	0.4011494253
682	0.40409879	0.4011494253
683	0.4036655618	0.400862069
684	0.4032880231	0.4005747126
685	0.4029979849	0.4017241379
686	0.4026527598	0.4028735632
687	0.4024076127	0.4017241379
688	0.4021794764	0.400862069
689	0.4019227081	0.4011494253
690	0.4017212741	0.4022988506
691	0.4012583711	0.4017241379
692	0.4010190048	0.4011494253
693	0.4006109308	0.4014367816
694	0.4004035411	0.4011494253
695	0.4001936869	0.4002873563
696	0.3998833635	0.4005747126
697	0.3997625575	0.4005747126
698	0.3994879526	0.400862069
699	0.3992825475	0.400862069
700	0.3990906715	0.4020114943
701	0.3988317629	0.4031609195
702	0.3984128477	0.4034482759
703	0.3982059931	0.4037356322
704	0.397767486	0.4043103448
705	0.3973505257	0.4043103448
706	0.3970915344	0.4043103448
707	0.3966817781	0.4051724138
708	0.396448116	0.4048850575
709	0.3962701555	0.4048850575
710	0.3960167933	0.4051724138
711	0.3957901584	0.4057471264
712	0.3955020762	0.4057471264
713	0.3952276534	0.4060344828
714	0.3950216932	0.4063218391
715	0.3947987563	0.4045977011
716	0.3944823613	0.4045977011
717	0.3942463293	0.4045977011
718	0.3940022579	0.4048850575
719	0.3937747726	0.4051724138
720	0.3932564567	0.4057471264
721	0.3929725603	0.4054597701
722	0.3927124516	0.4045977011
723	0.3925895534	0.4051724138
724	0.3923363154	0.4048850575
725	0.3920039132	0.4051724138
726	0.3917843804	0.4051724138
727	0.3915030249	0.4048850575
728	0.3911930093	0.4045977011
729	0.3909725217	0.4051724138
730	0.3906722473	0.4040229885
731	0.3904189086	0.4043103448
732	0.3902001003	0.4051724138
733	0.3899183522	0.4051724138
734	0.3896304046	0.4051724138
735	0.389391231	0.4054597701
736	0.3890368047	0.4057471264
737	0.3887764185	0.4054597701
738	0.3884737537	0.4048850575
739	0.3881730268	0.4054597701
740	0.387881008	0.4060344828
741	0.3876470478	0.4048850575
742	0.3872772976	0.4054597701
743	0.3869797146	0.4051724138
744	0.3867216509	0.4054597701
745	0.3864552946	0.4060344828
746	0.3861345794	0.4066091954
747	0.3856480244	0.4060344828
748	0.38538958	0.4063218391
749	0.3849507227	0.4063218391
750	0.3846348387	0.4063218391
751	0.3844796952	0.4066091954
752	0.384241311	0.4066091954
753	0.3839313682	0.4066091954
754	0.3837585132	0.4066091954
755	0.3834886611	0.4066091954
756	0.3832803477	0.4066091954
757	0.3830420005	0.4066091954
758	0.3827763792	0.407183908
759	0.3825541572	0.4077586207
760	0.3823382794	0.408045977
761	0.3819368465	0.4077586207
762	0.3816380252	0.4083333333
763	0.3813339302	0.4077586207
764	0.3811294762	0.4077586207
765	0.3808146769	0.4077586207
766	0.3805661949	0.4077586207
767	0.3802879498	0.408045977
768	0.3799912653	0.4077586207
769	0.3797046923	0.4074712644
770	0.3794786536	0.4077586207
771	0.3790882084	0.408045977
772	0.3787402796	0.408045977
773	0.3785692635	0.4077586207
774	0.3784662337	0.408045977
775	0.378264003	0.408045977
776	0.378004223	0.408908046
777	0.3778019657	0.4083333333
778	0.377457675	0.4086206897
779	0.3771988076	0.4091954023
780	0.3768906833	0.4094827586
781	0.3765952835	0.4097701149
782	0.376202065	0.4094827586
783	0.3758888312	0.4094827586
784	0.3755787723	0.408908046
785	0.3752793421	0.4091954023
786	0.3750328458	0.4094827586
787	0.3747213058	0.4086206897
788	0.3744323264	0.4086206897
789	0.3741762947	0.408908046
790	0.3739469002	0.408908046
791	0.3738176408	0.408908046
792	0.3734745643	0.4094827586
793	0.3731110738	0.4094827586
794	0.3728421609	0.4094827586
795	0.3725660688	0.4097701149
796	0.3722612651	0.4097701149
797	0.3719563385	0.4106321839
798	0.371669332	0.4103448276
799	0.3714548538	0.4112068966
800	0.3711765594	0.4114942529
801	0.3709081806	0.4114942529
802	0.3705686106	0.4120689655
803	0.3702998426	0.4117816092
804	0.3699393923	0.4120689655
805	0.369588295	0.4117816092
806	0.3693172272	0.4117816092
807	0.3689566541	0.4117816092
808	0.3686595796	0.4120689655
809	0.3683586903	0.4114942529
810	0.3681478641	0.4114942529
811	0.3679746381	0.4114942529
812	0.3677990481	0.4114942529
813	0.3675329471	0.4109195402
814	0.3672153469	0.4114942529
815	0.3668724083	0.4117816092
816	0.3667211465	0.4120689655
817	0.3664853923	0.4126436782
818	0.366166907	0.4126436782
819	0.3657423432	0.4126436782
820	0.3655036115	0.4126436782
821	0.3653403503	0.4129310345
822	0.3651049937	0.4132183908
823	0.3648756897	0.4132183908
824	0.3645450835	0.4132183908
825	0.3642509733	0.4137931034
826	0.3639850372	0.4137931034
827	0.3638432977	0.4135057471
828	0.3635313601	0.4135057471
829	0.3631707735	0.4135057471
830	0.3629704864	0.4135057471
831	0.3626850008	0.4135057471
832	0.3622627154	0.4137931034
833	0.3620025232	0.4143678161
834	0.3618916066	0.4143678161
835	0.3616841196	0.4143678161
836	0.3613913319	0.4143678161
837	0.3611721208	0.4140804598
838	0.3608541185	0.4143678161
839	0.3605590894	0.4143678161
840	0.3603628833	0.4149425287
841	0.3601267307	0.4146551724
842	0.3598903682	0.4146551724
843	0.3596202057	0.4146551724
844	0.3592438312	0.4146551724
845	0.358970811	0.416091954
846	0.3587093883	0.416091954
847	0.3584800997	0.4158045977
848	0.3583043324	0.4158045977
849	0.3581006683	0.4158045977
850	0.3577569295	0.416091954
851	0.35751943	0.4166666667
852	0.3572554059	0.4175287356
853	0.3570635383	0.4172413793
854	0.3568010572	0.4172413793
855	0.356557971	0.4172413793
856	0.3563841089	0.4172413793
857	0.3560092924	0.4166666667
858	0.3556121238	0.416954023
859	0.3552989422	0.4181034483
860	0.355130649	0.4175287356
861	0.3547539668	0.4181034483
862	0.354454436	0.4181034483
863	0.3541563978	0.4175287356
864	0.3536658635	0.4181034483
865	0.3533336726	0.4175287356
866	0.3531417052	0.416954023
867	0.3529838189	0.416954023
868	0.352835969	0.416954023
869	0.3526038704	0.417816092
870	0.3524336501	0.417816092
871	0.3521569764	0.4181034483
872	0.351937167	0.4181034483
873	0.3517848081	0.4181034483
874	0.3516291036	0.4183908046
875	0.3514848538	0.4183908046
876	0.3512688021	0.417816092
877	0.3510842795	0.416954023
878	0.3508431305	0.4172413793
879	0.3506148726	0.417816092
880	0.3504354185	0.417816092
881	0.3502821645	0.417816092
882	0.3500485406	0.417816092
883	0.3498442043	0.4172413793
