iter	QueryRMSE	AverageGain:top=10
743	0.1519312049	0.4221264368
744	0.1519045954	0.4224137931
745	0.1518877855	0.4221264368
746	0.1518707899	0.4221264368
747	0.1518461029	0.4218390805
748	0.1518141308	0.4227011494
749	0.1518040954	0.4227011494
750	0.1517685023	0.4229885057
751	0.1517236632	0.4227011494
752	0.1516901006	0.4229885057
753	0.1516626029	0.4229885057
754	0.1516189951	0.4232758621
755	0.15158788	0.4229885057
756	0.1515432828	0.4227011494
757	0.1515036606	0.4232758621
758	0.1514703682	0.4232758621
759	0.1514528904	0.4232758621
760	0.1514347377	0.4235632184
761	0.151397373	0.4235632184
762	0.1513522996	0.4235632184
763	0.151328413	0.4238505747
764	0.1512828552	0.4238505747
765	0.1512817909	0.4238505747
766	0.1512808015	0.4238505747
767	0.1512446921	0.4244252874
768	0.1512081263	0.4247126437
769	0.151184351	0.4247126437
770	0.1511605036	0.425
771	0.1511117292	0.4247126437
772	0.1510912485	0.4247126437
773	0.1510586162	0.425
774	0.151029028	0.425
775	0.1510272545	0.425
776	0.1510263214	0.425
777	0.1510252006	0.425
778	0.1510240278	0.4252873563
779	0.1510021924	0.425
780	0.1509797279	0.425
781	0.1509788515	0.425
782	0.1509427012	0.4252873563
783	0.1509287117	0.4255747126
784	0.1508943372	0.4255747126
785	0.1508533554	0.425
786	0.1508251057	0.4252873563
787	0.1508023043	0.4255747126
788	0.1507820541	0.425862069
789	0.1507477548	0.4261494253
790	0.1507269141	0.4261494253
791	0.1506982619	0.4261494253
792	0.1506643748	0.4264367816
793	0.1506375158	0.4264367816
794	0.1506124403	0.4261494253
795	0.1505823413	0.4261494253
796	0.1505460318	0.425862069
797	0.1505173864	0.4261494253
798	0.1505142048	0.4261494253
799	0.1504934386	0.4261494253
800	0.1504689755	0.425862069
801	0.1504247768	0.4261494253
802	0.1503996916	0.4261494253
803	0.1503666154	0.4261494253
804	0.1503349387	0.4264367816
805	0.1503009663	0.4267241379
806	0.1502773961	0.4267241379
807	0.1502453938	0.4267241379
808	0.1502089869	0.4270114943
809	0.1501619028	0.4267241379
810	0.1501272049	0.4261494253
811	0.1500992766	0.4264367816
812	0.1500692251	0.4270114943
813	0.1500414291	0.4267241379
814	0.150040695	0.4267241379
815	0.1500157228	0.4275862069
816	0.1499799347	0.4281609195
817	0.1499607433	0.4284482759
818	0.1499423384	0.4284482759
819	0.149893036	0.4281609195
820	0.1498671986	0.4278735632
821	0.1498662381	0.4278735632
822	0.1498353125	0.4275862069
823	0.1497988743	0.4290229885
824	0.1497803182	0.4287356322
825	0.1497422341	0.4293103448
826	0.1497189719	0.4293103448
827	0.1496911226	0.4295977011
828	0.1496708744	0.4293103448
829	0.1496585958	0.4293103448
830	0.149633873	0.4293103448
831	0.149607743	0.4293103448
832	0.149571978	0.4293103448
833	0.149549951	0.4293103448
834	0.1495116	0.4293103448
835	0.1494762929	0.4293103448
836	0.1494385031	0.4287356322
837	0.1493920541	0.4284482759
838	0.1493910768	0.4284482759
839	0.1493566445	0.4293103448
840	0.1493336764	0.4290229885
841	0.1493315746	0.4290229885
842	0.1493308919	0.4290229885
843	0.1493106924	0.4290229885
844	0.1492781901	0.4290229885
845	0.149247766	0.4293103448
846	0.1492242483	0.4293103448
847	0.1491953614	0.4293103448
848	0.1491651012	0.4290229885
849	0.1491398923	0.4295977011
850	0.14910007	0.4295977011
851	0.1490557822	0.4298850575
852	0.1490284944	0.4298850575
853	0.1490047353	0.4298850575
854	0.148978989	0.4301724138
855	0.1489554522	0.4301724138
856	0.1489108909	0.4301724138
857	0.1488912678	0.4301724138
858	0.1488603305	0.4310344828
859	0.1488352483	0.4310344828
860	0.1488048607	0.4313218391
861	0.148763104	0.4310344828
862	0.1487416941	0.4316091954
863	0.1487100351	0.4313218391
864	0.1486898391	0.4316091954
865	0.1486562031	0.4313218391
866	0.148629655	0.4316091954
867	0.1486030343	0.432183908
868	0.1485678399	0.4327586207
869	0.1485266671	0.4327586207
870	0.1484933359	0.4324712644
871	0.1484628499	0.432183908
872	0.1484318666	0.4324712644
873	0.1484131757	0.432183908
874	0.1483953376	0.432183908
875	0.1483625254	0.432183908
876	0.1483430442	0.4327586207
877	0.1482954413	0.4327586207
878	0.1482741001	0.4327586207
879	0.1482475289	0.4327586207
880	0.1482314863	0.4327586207
881	0.1481962333	0.4327586207
