iter	RMSE	AverageGain:top=10
697	0.1348655836	0.4567350263
698	0.1348223903	0.4566390733
699	0.1347714294	0.4572581329
700	0.1347193095	0.4572581329
701	0.13469398	0.4573540859
702	0.1346552449	0.4572581329
703	0.1345863452	0.4577832978
704	0.1345514769	0.4581825465
705	0.1345206124	0.4581809723
706	0.1345004164	0.4581809723
707	0.1344998496	0.4581809723
708	0.1344672072	0.458560614
709	0.1344419051	0.4581825465
710	0.1344146357	0.4586581412
711	0.134390895	0.4586581412
712	0.1343706586	0.4592393415
713	0.1343247962	0.4592393415
714	0.13427297	0.4587637468
715	0.134272373	0.4587637468
716	0.1342523664	0.4587637468
717	0.1341830765	0.4587637468
718	0.1341128252	0.4586662197
719	0.1340827598	0.4586662197
720	0.1340263465	0.4588610197
721	0.1339528345	0.4591445507
722	0.1339316802	0.4591445507
723	0.1338855653	0.4591445507
724	0.1338249568	0.4591445507
725	0.1338015459	0.4591445507
726	0.1337688077	0.4591445507
727	0.1337240584	0.4596830955
728	0.1336728893	0.4590322864
729	0.1336192911	0.4593663244
730	0.1335829636	0.4593663244
731	0.1335532013	0.4593663244
732	0.1335030729	0.4595754655
733	0.1334660729	0.4595754655
734	0.1334445999	0.4595098926
735	0.1334061455	0.4596729927
736	0.1333868963	0.4593894616
737	0.1333331377	0.4598650563
738	0.1333027505	0.4598650563
739	0.133267966	0.4593894616
740	0.133256726	0.4598650563
741	0.1332279173	0.4597675292
742	0.133189521	0.4592263616
743	0.1331402117	0.4597019563
744	0.1331183409	0.460177551
745	0.1330577294	0.4608099744
746	0.1330213275	0.4605000805
747	0.1329950072	0.4612757102
748	0.1329669525	0.460198319
749	0.1329503649	0.460198319
750	0.132949241	0.460198319
751	0.1329117153	0.4606586583
752	0.1328574632	0.4616302917
753	0.1328328935	0.4621973537
754	0.13278264	0.4613972179
755	0.132736785	0.4613295002
756	0.1327089968	0.4613295002
757	0.1326789098	0.4613295002
758	0.1326773388	0.4613295002
759	0.1326500903	0.4610336776
760	0.1326197593	0.4610336776
761	0.1325730402	0.4610337014
762	0.1325202487	0.4613677394
763	0.1324715888	0.4619695359
764	0.1324385445	0.4616976958
765	0.1323972024	0.461871529
766	0.1323570981	0.461871529
767	0.1323231681	0.4620157044
768	0.1322559431	0.4624912991
769	0.1321965974	0.4624912991
770	0.1321592301	0.4630589619
771	0.1320975561	0.4633593218
772	0.1320643165	0.4633593218
773	0.132002899	0.4633593218
774	0.1319445867	0.4641594576
775	0.1319113423	0.464189054
776	0.1318632315	0.4641594576
777	0.1317974752	0.4641594576
778	0.1317661426	0.4641594576
779	0.1317256755	0.4641594576
780	0.1316725597	0.464189054
781	0.1316402156	0.464189054
782	0.1315991909	0.4644516365
783	0.131560581	0.4647234766
784	0.1314932323	0.465046813
785	0.1314259631	0.465046813
786	0.1313982185	0.465046813
787	0.1313617635	0.465046813
788	0.1313138207	0.465046813
789	0.1312747295	0.4650375553
790	0.1312651659	0.4650375553
791	0.1312256762	0.4642374196
792	0.1311789153	0.4643023956
793	0.1311142174	0.4643023956
794	0.1310722053	0.4643023956
795	0.1310488986	0.4651025314
796	0.1310173679	0.4651025314
797	0.1309798069	0.4649506656
798	0.1309126362	0.4649506656
799	0.130856407	0.4649506656
800	0.1308132261	0.4648163229
801	0.1307894446	0.4648163229
802	0.130742372	0.4638124087
803	0.130711724	0.4638124087
804	0.1306743576	0.4640161871
805	0.1306738497	0.4640161871
806	0.1306732591	0.4640161871
807	0.1306429706	0.4640161871
808	0.1306396091	0.4640161871
809	0.1306392288	0.4640161871
810	0.1305925633	0.4640411101
811	0.1305704833	0.4640411101
812	0.1305080021	0.4640417069
813	0.1304873458	0.4641066829
814	0.1304369233	0.4643338038
815	0.1304136402	0.4642239083
816	0.1303797155	0.4643338038
817	0.1303314032	0.4644681465
818	0.1302584721	0.4643993766
819	0.1302142728	0.4645114699
820	0.1301904904	0.4646730178
821	0.1301534916	0.4646730178
822	0.130126429	0.4646730178
823	0.1300701902	0.4651418675
824	0.1300402956	0.4651418675
825	0.1299981844	0.464856846
826	0.1299448899	0.464856846
827	0.1299166602	0.464856846
828	0.1298784287	0.464856846
