iter	AverageGain:top=10
1034	0.4646551724
1035	0.4652298851
1036	0.4649425287
1037	0.4655172414
1038	0.4655172414
1039	0.4655172414
1040	0.4655172414
1041	0.4655172414
1042	0.4655172414
1043	0.4652298851
1044	0.4652298851
1045	0.4652298851
1046	0.4652298851
1047	0.4652298851
1048	0.4649425287
1049	0.4649425287
1050	0.4652298851
1051	0.4652298851
1052	0.4652298851
1053	0.4652298851
1054	0.4652298851
1055	0.4652298851
1056	0.4652298851
1057	0.4652298851
1058	0.4652298851
1059	0.4652298851
1060	0.4652298851
1061	0.4655172414
1062	0.4655172414
1063	0.4655172414
1064	0.4655172414
1065	0.4658045977
1066	0.466091954
1067	0.4663793103
1068	0.466091954
1069	0.4658045977
1070	0.4663793103
1071	0.466091954
1072	0.466091954
1073	0.466091954
1074	0.466091954
1075	0.466091954
1076	0.466091954
1077	0.466091954
1078	0.4663793103
1079	0.4663793103
1080	0.466091954
1081	0.4658045977
1082	0.4658045977
1083	0.4655172414
1084	0.4658045977
1085	0.4658045977
1086	0.4658045977
1087	0.4658045977
1088	0.466091954
1089	0.466091954
1090	0.4663793103
1091	0.466091954
1092	0.4658045977
1093	0.4658045977
1094	0.466091954
1095	0.4663793103
1096	0.4663793103
1097	0.4666666667
1098	0.4663793103
1099	0.4666666667
1100	0.4666666667
1101	0.4666666667
1102	0.4666666667
1103	0.466954023
1104	0.466954023
1105	0.466954023
1106	0.466954023
1107	0.4675287356
1108	0.4675287356
1109	0.4672413793
1110	0.4675287356
1111	0.4675287356
1112	0.4675287356
1113	0.4675287356
1114	0.4675287356
1115	0.4675287356
1116	0.4675287356
1117	0.4675287356
1118	0.4675287356
1119	0.4672413793
1120	0.4672413793
1121	0.466954023
1122	0.466954023
1123	0.467816092
1124	0.467816092
1125	0.467816092
1126	0.4681034483
1127	0.4681034483
1128	0.4681034483
1129	0.4681034483
1130	0.467816092
1131	0.4681034483
1132	0.4681034483
1133	0.4683908046
1134	0.4681034483
1135	0.4672413793
1136	0.4675287356
1137	0.4675287356
1138	0.4675287356
1139	0.467816092
1140	0.467816092
1141	0.4686781609
1142	0.4686781609
1143	0.4683908046
1144	0.4683908046
1145	0.4683908046
1146	0.4683908046
1147	0.4689655172
1148	0.4689655172
1149	0.4692528736
1150	0.4695402299
1151	0.4695402299
1152	0.4692528736
1153	0.4689655172
1154	0.4692528736
1155	0.4695402299
1156	0.4692528736
1157	0.4689655172
1158	0.4689655172
1159	0.4692528736
1160	0.4695402299
1161	0.4695402299
1162	0.4689655172
1163	0.4689655172
1164	0.4689655172
1165	0.4692528736
1166	0.4692528736
1167	0.4692528736
1168	0.4692528736
1169	0.4692528736
1170	0.4695402299
1171	0.4698275862
1172	0.4698275862
1173	0.4698275862
1174	0.4698275862
1175	0.4698275862
1176	0.4698275862
1177	0.4698275862
1178	0.4698275862
1179	0.4698275862
1180	0.4698275862
1181	0.4698275862
1182	0.4695402299
1183	0.4695402299
1184	0.4698275862
1185	0.4695402299
1186	0.4698275862
1187	0.4701149425
1188	0.4704022989
1189	0.4704022989
1190	0.4704022989
1191	0.4704022989
1192	0.4701149425
1193	0.4701149425
1194	0.4698275862
1195	0.4701149425
1196	0.4706896552
1197	0.4706896552
1198	0.4704022989
1199	0.4706896552
1200	0.4712643678
1201	0.4712643678
1202	0.4712643678
1203	0.4712643678
1204	0.4712643678
1205	0.4712643678
1206	0.4712643678
1207	0.4712643678
1208	0.4709770115
1209	0.4709770115
1210	0.4706896552
1211	0.4706896552
1212	0.4706896552
1213	0.4706896552
1214	0.4706896552
1215	0.4706896552
1216	0.4706896552
1217	0.4712643678
1218	0.4712643678
1219	0.4715517241
1220	0.4715517241
1221	0.4715517241
1222	0.4715517241
1223	0.4715517241
1224	0.4718390805
1225	0.4718390805
1226	0.4718390805
1227	0.4715517241
1228	0.4715517241
1229	0.4715517241
1230	0.4718390805
1231	0.4718390805
1232	0.4718390805
1233	0.4718390805
1234	0.4715517241
1235	0.4715517241
1236	0.4715517241
1237	0.4715517241
1238	0.4718390805
1239	0.4718390805
1240	0.4712643678
1241	0.4712643678
1242	0.4712643678
1243	0.4718390805
1244	0.4724137931
1245	0.4724137931
1246	0.4724137931
1247	0.4724137931
1248	0.4729885057
1249	0.4729885057
1250	0.4732758621
1251	0.4732758621
1252	0.4735632184
1253	0.4738505747
1254	0.4735632184
1255	0.4735632184
1256	0.4735632184
1257	0.4735632184
1258	0.4732758621
1259	0.4729885057
1260	0.4729885057
1261	0.4729885057
1262	0.4738505747
1263	0.4735632184
1264	0.4732758621
1265	0.4729885057
1266	0.4732758621
1267	0.4732758621
1268	0.4735632184
1269	0.4729885057
1270	0.4729885057
1271	0.4729885057
1272	0.4721264368
1273	0.4727011494
1274	0.4729885057
1275	0.4727011494
1276	0.4732758621
1277	0.4738505747
1278	0.4738505747
1279	0.474137931
1280	0.4735632184
1281	0.4735632184
1282	0.4732758621
1283	0.4732758621
1284	0.4732758621
1285	0.4732758621
1286	0.4732758621
1287	0.4729885057
1288	0.4729885057
1289	0.4729885057
1290	0.4732758621
1291	0.4735632184
1292	0.4735632184
1293	0.4735632184
1294	0.4735632184
1295	0.4738505747
1296	0.4738505747
1297	0.4735632184
1298	0.4735632184
1299	0.4738505747
1300	0.474137931
1301	0.474137931
1302	0.474137931
1303	0.4744252874
1304	0.474137931
1305	0.474137931
1306	0.474137931
1307	0.4744252874
1308	0.4744252874
1309	0.4747126437
1310	0.4747126437
1311	0.4744252874
1312	0.4761494253
1313	0.4761494253
1314	0.4761494253
1315	0.4755747126
1316	0.475862069
1317	0.4755747126
1318	0.4755747126
1319	0.4755747126
1320	0.475862069
